Variables,Season,Tide,Time,Value_mean,Value_sd,Value_var
NN,FALL,High,Day,0.315,0.2524928347081306,0.06375263157894737
NN,FALL,High,Night,0.685,1.126407890971164,1.2687947368421053
NN,FALL,Low,Day,3.366,2.7747288155782,7.699120000000001
NN,FALL,Low,Night,4.5225,5.10325682904142,26.043230263157895
NN,SPRING,High,Day,0.6678947368421052,0.41352924050003764,0.171006432748538
NN,SPRING,High,Night,1.8289473684210527,1.8135597123914495,3.288998830409357
NN,SPRING,Low,Day,8.358666666666666,11.702616842073441,136.95124095238094
NN,SPRING,Low,Night,3.882,4.218138277287243,17.792690526315788
pH,FALL,High,Day,8.1507,0.05180337318827989,0.002683589473684196
pH,FALL,High,Night,7.97918839845,0.015106652846906418,2.2821096023694577e-4
pH,FALL,Low,Day,8.03015,0.056446784440605816,0.003186239473684219
pH,FALL,Low,Night,7.96526065415,0.02895752639305763,8.385383348046292e-4
pH,SPRING,High,Day,8.255526315789474,0.056554171101748395,0.003198374269005833
pH,SPRING,High,Night,7.955218793105264,0.04528371460564869,0.0020506148084858404
pH,SPRING,Low,Day,8.099933333333333,0.05071413816209243,0.0025719238095238
pH,SPRING,Low,Night,8.03997922205,0.03360154103491679,0.001129063559921197
Phosphate,FALL,High,Day,0.1205,0.013562719801759993,1.839473684210526e-4
Phosphate,FALL,High,Night,0.1335,0.034530688105692764,0.0011923684210526319
Phosphate,FALL,Low,Day,0.216,0.10205261800711074,0.010414736842105263
Phosphate,FALL,Low,Night,0.2415,0.1375834674890693,0.01892921052631579
Phosphate,SPRING,High,Day,0.16736842105263158,0.021561824614390927,4.649122807017544e-4
Phosphate,SPRING,High,Night,0.20105263157894737,0.05227010371799599,0.002732163742690058
Phosphate,SPRING,Low,Day,0.31866666666666665,0.2815484395437556,0.0792695238095238
Phosphate,SPRING,Low,Night,0.2265,0.11851160280748886,0.014045
Salinity,FALL,High,Day,34.595008604,0.050055885461458206,0.002505591669330623
Salinity,FALL,High,Night,34.5088629815,0.3099218418333391,0.09605154804536925
Salinity,FALL,Low,Day,33.8631045565,0.6351708117549428,0.403441960105433
Salinity,FALL,Low,Night,33.8078086625,0.9468566609800247,0.8965375364422414
Salinity,SPRING,High,Day,34.35198836684211,0.2437757793045624,0.05942663057554671
Salinity,SPRING,High,Night,34.191575494210525,0.3738787993359056,0.1397853565928584
Salinity,SPRING,Low,Day,32.913430774,2.0959139430232847,4.392855256559412
Salinity,SPRING,Low,Night,33.875744809,0.8497260207619908,0.7220343103600072
Silicate,FALL,High,Day,2.9235,1.199891552117151,1.4397397368421054
Silicate,FALL,High,Night,4.9885,7.429148336114981,55.19224499999999
Silicate,FALL,Low,Day,20.468,15.225703890046214,231.8220589473684
Silicate,FALL,Low,Night,21.7935,22.697137374567745,515.160045
Silicate,SPRING,High,Day,8.748947368421053,5.8435585569229245,34.14717660818713
Silicate,SPRING,High,Night,12.59421052631579,8.962263054849902,80.3221590643275
Silicate,SPRING,Low,Day,43.23266666666667,50.24123355893851,2524.1815495238093
Silicate,SPRING,Low,Night,20.165,20.36881504446907,414.88862631578945
TA,FALL,High,Day,2254.4739215,15.555771587372362,241.98202967850125
TA,FALL,High,Night,2276.0566406,14.318112767753915,205.00835323011765
TA,FALL,Low,Day,2278.93793705,31.517669567608888,993.3634949729794
TA,FALL,Low,Night,2295.79084775,33.78100761306724,1141.1564753541068
TA,SPRING,High,Day,2230.9981927894737,31.92388919030084,1019.1347010346069
TA,SPRING,High,Night,2274.4938018421053,73.57744312877811,5413.6401373685785
TA,SPRING,Low,Day,2299.1482817333335,67.81702270890901,4599.14856910068
TA,SPRING,Low,Night,2267.50838005,31.51026843650582,992.8970169406551
